valid,tmpf,relh,pressure_hpa
2012-01-01 00:53,39.0,88.87,1011.3
2012-01-01 01:53,40.0,89.27,1009.8
2012-01-01 02:53,42.0,81.98,1009.8
2012-01-01 03:53,43.0,79.19,1008.4
2012-01-01 04:53,43.0,79.19,1007.0
2012-01-01 05:53,44.0,72.99,1005.7
2012-01-01 06:53,44.0,72.98,1004.6
2012-01-01 07:53,44.0,76.16,1004.2
2012-01-01 08:53,43.0,79.38,1003.9
2012-01-01 09:53,46.0,76.35,1004.4
2012-01-01 10:53,41.0,79.21,1006.0
2012-01-01 11:53,41.0,82.09,1007.5
2012-01-01 12:53,39.0,88.66,1008.8
2012-01-01 13:04,39.2,86.79,1008.8051838009928
2012-01-01 13:53,37.0,88.57,1011.0
2012-01-01 14:40,39.2,86.79,1012.1915724676629
2012-01-01 14:53,39.0,85.55,1013.2
2012-01-01 15:53,38.0,85.49,1015.0
2012-01-01 16:53,38.0,75.58,1016.2
2012-01-01 17:06,37.4,74.98,1015.9166000009999
2012-01-01 17:53,40.0,67.45,1016.7
2012-01-01 18:53,40.0,59.5,1016.8
2012-01-01 19:53,39.0,49.93,1017.4
2012-01-01 20:53,38.0,46.09,1019.1
2012-01-01 21:53,35.0,53.66,1021.0
2012-01-01 22:53,34.0,56.02,1022.3
2012-01-01 23:53,34.0,56.02,1022.7
2012-01-02 00:53,33.0,58.08,1023.3
2012-01-02 01:53,32.0,60.66,1023.4
2012-01-02 02:53,31.0,63.36,1023.3
2012-01-02 03:53,30.0,60.38,1023.4
2012-01-02 04:53,30.0,60.38,1023.0
2012-01-02 05:53,30.0,63.24,1022.6
2012-01-02 06:53,29.0,63.1,1022.4
2012-01-02 07:53,28.0,65.47,1022.3
2012-01-02 08:53,26.0,65.21,1022.5
2012-01-02 09:53,26.0,65.21,1022.6
2012-01-02 10:00,24.8,68.18,1021.673460734339
2012-01-02 10:34,24.8,63.03,1022.012099601006
2012-01-02 10:53,24.0,64.95,1022.9
2012-01-02 11:53,23.0,64.81,1022.9
2012-01-02 12:53,22.0,62.13,1023.3
2012-01-02 13:53,22.0,62.13,1024.1
2012-01-02 14:53,22.0,62.13,1024.8
2012-01-02 15:53,23.0,59.37,1025.2
2012-01-02 16:53,23.0,67.96,1024.9
2012-01-02 17:53,24.0,59.52,1024.5
2012-01-02 18:53,24.0,61.94,1024.5
2012-01-02 19:22,21.2,79.31,1024.043932801008
2012-01-02 19:29,23.0,67.96,1024.043932801008
2012-01-02 19:53,23.0,74.09,1025.4
2012-01-02 20:03,23.0,67.96,1024.382571667675
2012-01-02 20:22,21.2,79.31,1024.721210534342
2012-01-02 20:31,21.2,85.74,1025.059849401009
2012-01-02 20:35,21.2,85.74,1025.059849401009
2012-01-02 20:42,23.0,73.51,1025.059849401009
2012-01-02 20:47,21.2,79.31,1025.398488267676
2012-01-02 20:53,21.0,87.75,1026.3
2012-01-02 21:01,21.2,85.74,1025.398488267676
2012-01-02 21:09,21.2,79.31,1025.398488267676
2012-01-02 21:13,21.2,79.31,1025.737127134343
2012-01-02 21:40,21.2,79.31,1026.07576600101
2012-01-02 21:48,21.2,67.73,1026.07576600101
2012-01-02 21:53,21.0,70.46,1027.3
2012-01-02 22:38,21.2,62.53,1027.091682601011
2012-01-02 22:53,21.0,59.08,1028.3
2012-01-02 23:53,20.0,67.58,1029.2
2012-01-03 00:53,20.0,70.89,1029.8
2012-01-03 01:53,21.0,64.54,1030.1
2012-01-03 02:53,21.0,62.0,1030.3
2012-01-03 03:53,18.0,64.65,1030.7
2012-01-03 04:53,16.0,70.43,1030.9
2012-01-03 05:53,14.0,76.79,1031.3
2012-01-03 06:53,13.0,76.68,1031.4
2012-01-03 07:53,12.0,76.59,1032.2
2012-01-03 08:53,12.0,76.59,1032.3
2012-01-03 09:53,9.0,83.56,1031.7
2012-01-03 10:53,10.0,83.64,1031.2
2012-01-03 11:53,10.0,79.62,1031.7
2012-01-03 12:53,10.0,83.64,1032.4
2012-01-03 13:53,11.0,83.71,1032.7
2012-01-03 14:53,16.0,76.98,1032.5
2012-01-03 15:53,19.0,70.22,1032.9
2012-01-03 16:53,22.0,62.13,1032.5
2012-01-03 17:53,24.0,59.52,1031.0
2012-01-03 18:53,26.0,54.82,1029.5
2012-01-03 19:53,29.0,50.66,1028.0
2012-01-03 20:53,29.0,50.66,1027.2
2012-01-03 21:53,29.0,53.13,1026.6
2012-01-03 22:53,26.0,62.7,1025.4
2012-01-03 23:53,25.0,65.58,1024.5
2012-01-04 00:53,26.0,62.7,1024.1
2012-01-04 01:53,26.0,62.7,1023.2
2012-01-04 02:53,26.0,65.21,1022.3
2012-01-04 03:53,26.0,65.21,1022.2
2012-01-04 04:53,27.0,62.83,1020.6
2012-01-04 05:53,27.0,62.83,1020.4
2012-01-04 06:53,26.0,65.21,1019.4
2012-01-04 07:53,27.0,68.44,1018.5
2012-01-04 08:53,28.0,65.47,1018.2
2012-01-04 09:53,28.0,68.57,1017.8
2012-01-04 10:53,28.0,71.26,1017.3
2012-01-04 11:53,29.0,71.91,1017.4
2012-01-04 12:53,31.0,66.34,1016.4
2012-01-04 13:53,29.0,68.68,1016.5
2012-01-04 14:53,33.0,63.17,1017.2
2012-01-04 15:53,37.0,53.97,1018.0
2012-01-04 16:53,40.0,50.46,1016.7
2012-01-04 17:53,43.0,48.7,1015.6
2012-01-04 18:53,45.0,47.23,1015.4
2012-01-04 19:53,47.0,45.48,1015.7
2012-01-04 20:53,46.0,49.19,1016.4
2012-01-04 21:53,44.0,55.02,1017.0
2012-01-04 22:53,41.0,61.89,1018.2
2012-01-04 23:53,38.0,69.73,1019.2
2012-01-05 00:53,37.0,69.63,1020.2
2012-01-05 01:53,33.0,77.96,1020.0
2012-01-05 02:53,30.0,81.27,1020.3
2012-01-05 03:53,29.0,84.93,1020.5
2012-01-05 04:53,27.0,88.73,1020.2
2012-01-05 05:53,27.0,88.73,1019.6
2012-01-05 06:53,25.0,87.96,1019.2
2012-01-05 07:53,25.0,87.96,1019.3
2012-01-05 08:53,26.0,88.01,1019.2
2012-01-05 09:53,25.0,87.96,1019.1
2012-01-05 10:53,26.0,88.01,1019.3
2012-01-05 11:53,28.0,84.87,1018.6
2012-01-05 12:53,28.0,84.87,1018.1
2012-01-05 13:53,29.0,84.93,1018.1
2012-01-05 14:53,35.0,78.13,1017.5
2012-01-05 15:53,41.0,67.09,1017.0
2012-01-05 16:53,45.0,57.63,1016.3
2012-01-05 17:53,47.0,53.47,1015.3
2012-01-05 18:53,49.0,51.85,1014.3
2012-01-05 19:53,52.0,48.34,1013.5
2012-01-05 20:53,53.0,48.16,1012.8
2012-01-05 21:53,51.0,54.09,1012.6
2012-01-05 22:53,41.0,70.08,1012.9
2012-01-05 23:53,38.0,75.58,1012.6
2012-01-06 00:53,37.0,78.31,1012.4
2012-01-06 01:53,36.0,78.79,1012.1
2012-01-06 02:53,39.0,72.46,1011.7
2012-01-06 03:53,38.0,78.96,1011.3
2012-01-06 04:53,37.0,81.8,1010.7
2012-01-06 05:53,37.0,78.31,1010.3
2012-01-06 06:53,37.0,78.31,1010.0
2012-01-06 07:53,37.0,78.31,1009.9
2012-01-06 08:53,39.0,72.46,1009.7
2012-01-06 09:53,38.0,75.58,1009.5
2012-01-06 10:53,36.0,78.79,1009.5
2012-01-06 11:53,34.0,81.57,1009.6
2012-01-06 12:53,34.0,81.57,1009.7
2012-01-06 13:53,36.0,78.79,1009.8
2012-01-06 14:53,41.0,73.19,1010.0
2012-01-06 15:53,48.0,60.62,1009.7
2012-01-06 16:53,53.0,50.28,1009.1
2012-01-06 17:53,56.0,45.26,1007.9
2012-01-06 18:53,58.0,43.67,1006.8
2012-01-06 19:53,59.0,42.02,1006.6
2012-01-06 20:53,59.0,42.02,1006.5
2012-01-06 21:53,57.0,45.11,1007.3
2012-01-06 22:53,48.0,62.82,1007.7
2012-01-06 23:53,44.0,70.42,1008.3
2012-01-07 00:53,41.0,75.88,1009.0
2012-01-07 01:53,40.0,76.32,1009.2
2012-01-07 02:53,35.0,81.65,1009.3
2012-01-07 03:53,35.0,81.65,1009.5
2012-01-07 04:53,35.0,81.65,1010.0
2012-01-07 05:53,34.0,81.57,1010.4
2012-01-07 06:53,36.0,78.79,1011.1
2012-01-07 07:53,37.0,72.24,1012.3
2012-01-07 08:53,36.0,75.39,1012.9
2012-01-07 09:53,35.0,78.13,1013.5
2012-01-07 10:53,33.0,81.5,1014.4
2012-01-07 11:53,33.0,81.5,1015.7
2012-01-07 12:53,28.0,84.87,1016.4
2012-01-07 13:53,31.0,85.05,1017.1
2012-01-07 14:53,34.0,81.57,1018.2
2012-01-07 15:53,38.0,69.73,1019.1
2012-01-07 16:53,41.0,64.68,1019.5
2012-01-07 17:53,43.0,59.93,1019.2
2012-01-07 18:53,45.0,55.56,1019.2
2012-01-07 19:53,45.0,53.17,1019.3
2012-01-07 20:53,46.0,53.33,1019.8
2012-01-07 21:53,45.0,53.17,1020.6
2012-01-07 22:53,37.0,69.63,1021.3
2012-01-07 23:53,38.0,67.21,1021.6
2012-01-08 00:53,34.0,75.2,1022.3
2012-01-08 01:53,33.0,77.96,1023.3
2012-01-08 02:53,32.0,78.45,1023.7
2012-01-08 03:53,29.0,84.93,1024.1
2012-01-08 04:53,29.0,84.93,1023.9
2012-01-08 05:53,29.0,84.93,1024.1
2012-01-08 06:53,30.0,81.27,1024.8
2012-01-08 07:53,30.0,85.0,1024.9
2012-01-08 08:53,33.0,81.5,1024.8
2012-01-08 09:53,29.0,84.93,1025.2
2012-01-08 10:53,27.0,88.73,1025.8
2012-01-08 11:53,27.0,88.73,1026.2
2012-01-08 12:53,26.0,88.01,1026.8
2012-01-08 13:53,28.0,88.12,1027.3
