valid,tmpf,relh,pressure_hpa
2011-01-01 00:51,53.0,100.0,1005.6
2011-01-01 01:51,53.0,96.1,1005.3
2011-01-01 02:21,51.8,100.0,1004.741517400989
2011-01-01 02:51,52.0,100.0,1005.4
2011-01-01 03:41,51.8,100.0,1004.741517400989
2011-01-01 03:51,52.0,100.0,1005.0
2011-01-01 04:51,52.0,96.73,1005.2
2011-01-01 05:28,44.6,93.35,1006.096072867657
2011-01-01 05:51,42.0,75.98,1006.9
2011-01-01 06:51,40.0,67.45,1006.8
2011-01-01 07:18,37.4,69.67,1006.773350600991
2011-01-01 07:51,37.0,69.63,1007.3
2011-01-01 08:51,36.0,69.51,1007.6
2011-01-01 09:51,32.0,60.66,1007.8
2011-01-01 10:51,31.0,60.97,1008.1
2011-01-01 11:51,28.0,62.97,1008.6
2011-01-01 12:51,27.0,71.69,1009.4
2011-01-01 13:51,25.0,74.29,1009.8
2011-01-01 14:51,23.0,64.81,1011.8
2011-01-01 15:51,21.0,62.0,1012.8
2011-01-01 16:51,20.0,54.3,1013.4
2011-01-01 17:51,19.0,56.43,1013.0
2011-01-01 18:51,21.0,54.03,1012.7
2011-01-01 19:51,19.0,56.43,1013.4
2011-01-01 20:51,19.0,53.71,1014.4
2011-01-01 21:51,19.0,51.11,1015.4
2011-01-01 22:51,18.0,61.57,1016.5
2011-01-01 23:51,16.0,67.07,1017.9
2011-01-02 00:51,16.0,55.95,1018.7
2011-01-02 01:51,15.0,58.19,1019.1
2011-01-02 02:51,16.0,61.29,1019.5
2011-01-02 03:51,15.0,58.19,1020.1
2011-01-02 04:51,14.0,63.59,1020.9
2011-01-02 05:51,14.0,66.82,1020.6
2011-01-02 05:57,14.0,66.82,1019.30298866767
2011-01-02 06:51,13.0,66.68,1020.3
2011-01-02 07:51,13.0,70.07,1021.2
2011-01-02 08:51,13.0,70.07,1021.8
2011-01-02 09:51,12.0,72.91,1021.6
2011-01-02 10:51,12.0,72.91,1021.9
2011-01-02 11:51,13.0,70.07,1022.5
2011-01-02 12:51,13.0,70.07,1022.9
2011-01-02 13:51,13.0,73.61,1023.4
2011-01-02 14:51,15.0,66.96,1023.8
2011-01-02 15:51,17.0,61.44,1023.8
2011-01-02 16:51,20.0,54.3,1023.7
2011-01-02 17:51,23.0,43.21,1022.8
2011-01-02 18:51,23.0,47.7,1022.7
2011-01-02 19:51,24.0,45.59,1022.0
2011-01-02 20:51,24.0,47.49,1022.1
2011-01-02 21:51,24.0,47.49,1022.2
2011-01-02 22:51,23.0,54.34,1022.1
2011-01-02 23:51,22.0,59.69,1022.2
2011-01-03 00:51,22.0,62.13,1022.1
2011-01-03 01:51,22.0,65.18,1022.0
2011-01-03 02:51,23.0,67.96,1021.9
2011-01-03 03:51,23.0,67.96,1021.3
2011-01-03 04:51,23.0,67.96,1021.1
2011-01-03 05:51,23.0,67.96,1020.4
2011-01-03 06:51,23.0,71.24,1019.7
2011-01-03 07:51,23.0,71.24,1019.8
2011-01-03 08:51,23.0,71.24,1019.4
2011-01-03 09:51,22.0,74.56,1019.0
2011-01-03 10:51,22.0,74.56,1018.7
2011-01-03 11:51,22.0,74.56,1019.0
2011-01-03 12:51,22.0,74.56,1019.1
2011-01-03 13:51,24.0,68.09,1018.9
2011-01-03 14:51,26.0,65.21,1019.2
2011-01-03 15:51,29.0,57.92,1019.7
2011-01-03 16:51,32.0,53.6,1019.5
2011-01-03 17:51,33.0,51.33,1018.4
2011-01-03 18:51,34.0,51.47,1017.5
2011-01-03 19:51,35.0,49.3,1017.0
2011-01-03 20:51,35.0,49.3,1016.8
2011-01-03 21:51,34.0,56.02,1017.0
2011-01-03 22:51,33.0,58.08,1017.0
2011-01-03 23:51,33.0,58.08,1016.4
2011-01-04 00:51,32.0,65.97,1016.4
2011-01-04 01:51,31.0,72.12,1015.8
2011-01-04 02:51,32.0,69.04,1015.5
2011-01-04 03:51,30.0,74.81,1014.9
2011-01-04 04:51,29.0,78.18,1014.3
2011-01-04 05:51,29.0,78.18,1013.7
2011-01-04 06:51,30.0,71.48,1013.4
2011-01-04 07:51,28.0,74.61,1013.3
2011-01-04 08:51,28.0,74.61,1013.0
2011-01-04 09:51,27.0,74.5,1012.4
2011-01-04 10:51,25.0,80.87,1012.4
2011-01-04 11:51,25.0,80.87,1012.9
2011-01-04 12:03,26.6,73.89,1012.5302113343299
2011-01-04 12:51,25.0,74.29,1013.8
2011-01-04 13:44,23.0,73.51,1013.5461279343309
2011-01-04 13:51,22.0,77.54,1014.3
2011-01-04 14:51,22.0,74.56,1015.2
2011-01-04 15:51,21.0,70.46,1016.2
2011-01-04 16:51,20.0,70.89,1016.3
2011-01-04 17:51,21.0,67.71,1016.0
2011-01-04 18:51,22.0,65.18,1016.3
2011-01-04 19:51,22.0,65.18,1016.6
2011-01-04 20:51,23.0,59.37,1017.3
2011-01-04 21:51,22.0,59.69,1017.4
2011-01-04 22:51,20.0,61.85,1018.0
2011-01-04 23:51,19.0,64.28,1018.6
2011-01-05 00:51,18.0,67.33,1018.9
2011-01-05 01:51,17.0,67.21,1019.3
2011-01-05 02:51,15.0,73.24,1019.5
2011-01-05 03:51,15.0,69.75,1019.0
2011-01-05 04:51,14.0,70.19,1019.1
2011-01-05 05:51,14.0,66.82,1018.6
