wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
ILX,2022-08-01 10:11,2022-08-01 10:45,2022-08-01 10:11,202208011045,SV,P,W,94,NEW,,1697.712700147331,2022-08-01 10:11,,,,,False,2022-08-01 10:11,2022-08-01 10:26,60.0,0.75,,,202208011011-KILX-WUUS53-SVRILX,Auten,2022
ILX,2022-08-30 00:31,2022-08-30 01:15,2022-08-30 00:31,202208300115,SV,P,W,132,NEW,,542.6558944788876,2022-08-30 00:31,,,,,False,2022-08-30 00:31,2022-08-30 00:58,60.0,1.0,,,202208300031-KILX-WUUS53-SVRILX,NMA,2022
ILX,2022-08-01 09:02,2022-08-01 09:30,2022-08-01 09:02,202208010930,SV,P,W,92,NEW,,1422.7763265221963,2022-08-01 09:02,,,,,False,2022-08-01 09:02,2022-08-01 09:32,60.0,0.75,,,202208010902-KILX-WUUS53-SVRILX,Auten,2022
ILX,2022-03-06 04:52,2022-03-06 05:30,2022-03-06 04:52,202203060530,SV,P,W,7,NEW,,1278.369438485715,2022-03-06 04:52,,,,,False,2022-03-06 04:52,2022-03-06 05:05,60.0,0.75,,,202203060452-KILX-WUUS53-SVRILX,25,2022
ILX,2022-05-13 22:41,2022-05-13 23:15,2022-05-13 22:41,202205132315,SV,P,W,30,NEW,,339.9329584495382,2022-05-13 22:41,,,,,False,2022-05-13 22:41,2022-05-13 23:24,60.0,1.0,POSSIBLE,,202205132241-KILX-WUUS53-SVRILX,Auten,2022
ILX,2022-03-06 03:18,2022-03-06 04:00,2022-03-06 03:18,202203060400,SV,P,W,1,NEW,,1848.9586191438284,2022-03-06 03:18,,,,,False,2022-03-06 03:18,2022-03-06 03:33,60.0,0.75,,,202203060318-KILX-WUUS53-SVRILX,25,2022
ILX,2022-06-12 12:31,2022-06-12 13:15,2022-06-12 12:31,202206121315,SV,P,W,46,NEW,,701.1300541220829,2022-06-12 12:31,,,,,False,2022-06-12 12:31,2022-06-12 12:47,60.0,1.0,,,202206121231-KILX-WUUS53-SVRILX,Deubelbeiss,2022
ILX,2022-09-04 04:18,2022-09-04 07:15,2022-09-04 04:18,202209040715,FF,P,W,50,NEW,,117.22027885044945,2022-09-04 04:18,00000,0,ER,OO,False,2022-09-04 04:18,2022-09-04 07:21,,,,,202209040418-KILX-WGUS53-FFWILX,37,2022
ILX,2022-05-01 00:31,2022-05-01 01:04,2022-05-01 00:31,202205010115,SV,P,W,28,NEW,,1198.145617305954,2022-05-01 00:31,,,,,False,2022-05-01 00:31,2022-05-01 01:04,60.0,1.0,,,202205010031-KILX-WUUS53-SVRILX,NMB,2022
ILX,2022-07-04 21:59,2022-07-04 22:15,2022-07-04 21:59,202207042215,SV,P,W,73,NEW,,67.12880025329612,2022-07-04 21:59,,,,,False,2022-07-04 21:59,2022-07-04 22:13,60.0,0.75,,,202207042159-KILX-WUUS53-SVRILX,MJA,2022
ILX,2022-08-03 18:52,2022-08-03 19:30,2022-08-03 18:52,202208031930,SV,P,W,114,NEW,,302.3135103086282,2022-08-03 18:52,,,,,False,2022-08-03 18:52,2022-08-03 19:03,60.0,0.75,,,202208031852-KILX-WUUS53-SVRILX,NMB,2022
ILX,2022-06-26 01:27,2022-06-26 02:15,2022-06-26 01:27,202206260215,SV,P,W,63,NEW,,691.7449527414465,2022-06-26 01:27,,,,,False,2022-06-26 01:27,2022-06-26 01:36,60.0,1.0,,,202206260127-KILX-WUUS53-SVRILX,37,2022
ILX,2022-08-30 02:17,2022-08-30 05:30,2022-08-30 02:17,202208300530,FF,P,W,46,NEW,,1073.5975248309182,2022-08-30 02:17,00000,0,ER,OO,False,2022-08-30 02:17,2022-08-30 02:43,,,,,202208300217-KILX-WGUS53-FFWILX,37,2022
ILX,2022-08-29 23:56,2022-08-30 00:45,2022-08-29 23:56,202208300045,SV,P,W,130,NEW,,1997.822440547637,2022-08-29 23:56,,,,,False,2022-08-29 23:56,2022-08-30 00:13,60.0,0.88,,,202208292356-KILX-WUUS53-SVRILX,NMA,2022
ILX,2022-04-25 00:40,2022-04-25 01:15,2022-04-25 00:40,202204250115,SV,P,W,20,NEW,,1351.1809754356718,2022-04-25 00:40,,,,,False,2022-04-25 00:40,2022-04-25 00:53,60.0,0.75,,,202204250040-KILX-WUUS53-SVRILX,Erwin,2022
ILX,2022-06-26 03:46,2022-06-26 04:15,2022-06-26 03:46,202206260415,SV,P,W,68,NEW,,329.9611931257407,2022-06-26 03:46,,,,,False,2022-06-26 03:46,2022-06-26 04:11,60.0,0.75,,,202206260346-KILX-WUUS53-SVRILX,37,2022
ILX,2022-05-15 21:31,2022-05-15 21:56,2022-05-15 21:31,202205152215,SV,P,W,35,NEW,,856.4417004046362,2022-05-15 21:31,,,,,False,2022-05-15 21:31,2022-05-15 21:56,60.0,1.0,,,202205152131-KILX-WUUS53-SVRILX,MJA,2022
ILX,2022-06-26 01:41,2022-06-26 02:30,2022-06-26 01:41,202206260230,SV,P,W,64,NEW,,1439.307338171324,2022-06-26 01:41,,,,,False,2022-06-26 01:41,2022-06-26 01:49,60.0,0.75,,,202206260141-KILX-WUUS53-SVRILX,37,2022
ILX,2022-08-03 19:33,2022-08-03 20:15,2022-08-03 19:33,202208032015,SV,P,W,117,NEW,,308.1713667597947,2022-08-03 19:33,,,,,False,2022-08-03 19:33,2022-08-03 19:50,60.0,1.0,,,202208031933-KILX-WUUS53-SVRILX,NMB,2022
ILX,2022-08-20 19:33,2022-08-20 20:15,2022-08-20 19:33,202208202015,SV,P,W,123,NEW,,645.1992790293597,2022-08-20 19:33,,,,,False,2022-08-20 19:33,2022-08-20 19:35,60.0,1.0,,,202208201933-KILX-WUUS53-SVRILX,Auten,2022
