wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
LOT,2011-05-07 21:32,2011-05-07 22:30,2011-05-07 21:32,201105072230,SV,P,W,16,NEW,,1188.4748026763884,2011-05-07 21:32,,,,,False,2011-05-07 21:32,2011-05-07 21:46,60.0,1.0,,,201105072132-KLOT-WUUS53-SVRLOT,RODRIGUEZ,2011
LOT,2011-09-03 20:22,2011-09-03 21:15,2011-09-03 20:22,201109032115,SV,P,W,173,NEW,,1575.305422943578,2011-09-03 20:22,,,,,False,2011-09-03 20:22,2011-09-03 20:38,60.0,1.0,,,201109032022-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-06-19 22:53,2011-06-19 23:19,2011-06-19 22:53,201106192330,SV,P,W,99,NEW,,317.4071565757488,2011-06-19 22:53,,,,,False,2011-06-19 22:53,2011-06-19 23:03,60.0,1.0,,,201106192253-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-09-03 20:44,2011-09-03 21:12,2011-09-03 20:44,201109032130,SV,P,W,174,NEW,,651.4532483525576,2011-09-03 20:44,,,,,False,2011-09-03 20:44,2011-09-03 21:01,50.0,1.0,,,201109032044-KLOT-WUUS53-SVRLOT,,2011
LOT,2011-05-13 18:17,2011-05-13 19:15,2011-05-13 18:17,201105131915,SV,P,W,33,NEW,,600.85689218364,2011-05-13 18:17,,,,,False,2011-05-13 18:17,2011-05-13 18:38,60.0,1.0,,,201105131817-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-04-04 02:50,2011-04-04 03:30,2011-04-04 02:50,201104040330,SV,P,W,4,NEW,,1449.333729991361,2011-04-04 02:50,,,,,False,2011-04-04 02:50,2011-04-04 03:14,50.0,1.0,,,201104040250-KLOT-WUUS53-SVRLOT,MDB/KJB,2011
LOT,2011-08-13 00:03,2011-08-13 01:00,2011-08-13 00:03,201108130100,SV,P,W,153,NEW,,588.2459065977171,2011-08-13 00:03,,,,,False,2011-08-13 00:03,2011-08-13 00:29,60.0,1.0,,,201108130003-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-05-13 18:26,2011-05-13 18:50,2011-05-13 18:26,201105131930,SV,P,W,35,NEW,,397.56798345906026,2011-05-13 18:26,,,,,False,2011-05-13 18:26,2011-05-13 18:50,60.0,1.0,,,201105131826-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-09-03 19:17,2011-09-03 20:00,2011-09-03 19:17,201109032000,SV,P,W,170,NEW,,978.5475979413724,2011-09-03 19:17,,,,,False,2011-09-03 19:17,2011-09-03 19:31,60.0,0.5,,,201109031917-KLOT-WUUS53-SVRLOT,,2011
LOT,2011-08-13 19:54,2011-08-13 20:35,2011-08-13 19:54,201108132045,SV,P,W,161,NEW,,1069.315778932237,2011-08-13 19:54,,,,,False,2011-08-13 19:54,2011-08-13 20:06,50.0,1.0,,,201108131954-KLOT-WUUS53-SVRLOT,ALLSOPP,2011
LOT,2011-04-04 03:11,2011-04-04 04:15,2011-04-04 03:11,201104040415,SV,P,W,5,NEW,,4257.1133420858205,2011-04-04 03:11,,,,,False,2011-04-04 03:11,2011-04-04 03:26,60.0,1.5,,,201104040311-KLOT-WUUS53-SVRLOT,MDB/KJB,2011
LOT,2011-07-01 12:43,2011-07-01 13:31,2011-07-01 12:43,201107011345,SV,P,W,114,NEW,,1225.8236949937714,2011-07-01 12:43,,,,,False,2011-07-01 12:43,2011-07-01 12:59,60.0,1.0,,,201107011243-KLOT-WUUS53-SVRLOT,RATZER,2011
LOT,2011-07-23 03:20,2011-07-23 09:30,2011-07-23 03:20,201107230930,FF,P,W,18,NEW,,1546.6599770889102,2011-07-23 03:20,00000,,,,False,2011-07-23 03:20,2011-07-23 04:19,,,,,201107230320-KLOT-WGUS53-FFWLOT,CMS,2011
LOT,2011-06-09 08:20,2011-06-09 09:15,2011-06-09 08:20,201106090915,SV,P,W,91,NEW,,1315.8958275852822,2011-06-09 08:20,,,,,False,2011-06-09 08:20,2011-06-09 08:35,60.0,1.0,,,201106090820-KLOT-WUUS53-SVRLOT,RATZER,2011
LOT,2011-05-22 22:08,2011-05-23 02:36,2011-05-22 22:08,201105230400,FF,P,W,5,NEW,,1794.6696033241592,2011-05-22 22:08,00000,,,,False,2011-05-22 22:08,2011-05-22 23:17,,,,,201105222208-KLOT-WGUS53-FFWLOT,RODRIGUEZ,2011
LOT,2011-05-23 02:32,2011-05-23 05:06,2011-05-23 02:32,201105230830,FA,P,W,5,NEW,,1601.9278933592595,2011-05-23 02:32,00000,,,,False,2011-05-23 02:32,2011-05-23 05:06,,,,,201105230232-KLOT-WGUS43-FLWLOT,RODRIGUEZ,2011
LOT,2011-06-20 16:00,2011-06-20 21:45,2011-06-20 16:00,201106202200,FF,P,W,15,NEW,,1812.110186675164,2011-06-20 16:00,00000,,,,False,2011-06-20 16:00,2011-06-20 17:13,,,,,201106201600-KLOT-WGUS53-FFWLOT,BIRK,2011
LOT,2011-06-19 22:24,2011-06-19 23:00,2011-06-19 22:24,201106192300,SV,P,W,98,NEW,,317.9842915960881,2011-06-19 22:24,,,,,False,2011-06-19 22:24,2011-06-19 22:34,60.0,1.0,,,201106192224-KLOT-WUUS53-SVRLOT,BMD,2011
LOT,2011-05-13 17:35,2011-05-13 18:15,2011-05-13 17:35,201105131815,TO,P,W,7,NEW,,894.0892063750052,2011-05-13 17:35,,,,,False,2011-05-13 17:35,2011-05-13 17:52,,,,,201105131735-KLOT-WFUS53-TORLOT,KREIN,2011
LOT,2011-08-13 21:47,2011-08-13 22:16,2011-08-13 21:47,201108132230,SV,P,W,163,NEW,,766.1066893343127,2011-08-13 21:47,,,,,False,2011-08-13 21:47,2011-08-13 22:02,50.0,1.0,,,201108132147-KLOT-WUUS53-SVRLOT,ALLSOPP,2011
