valid,tmpf,relh,pressure_hpa
2026-06-13 18:04,80.6,54.37,1013.5461279343309
2026-06-13 18:26,78.8,61.42,1013.207489067664
2026-06-13 19:06,73.4,88.53,1013.207489067664
2026-06-13 19:26,75.2,83.36,1012.8688502009969
2026-06-13 20:09,80.6,69.77,1012.1915724676629
2026-06-13 20:30,80.6,65.6,1011.8529336009959
2026-06-13 21:44,78.8,69.58,1010.8370170009949
2026-06-13 22:04,78.8,74.0,1010.4983781343279
2026-06-13 22:24,78.8,74.0,1010.1597392676608
2026-06-13 22:46,78.8,69.58,1009.8211004009939
2026-06-13 23:26,78.8,69.58,1009.4824615343268
2026-06-14 00:06,78.8,74.0,1009.4824615343268
2026-06-14 00:44,75.2,83.36,1009.4824615343268
2026-06-14 01:04,75.2,83.36,1010.1597392676608
2026-06-14 01:24,73.4,88.53,1010.1597392676608
2026-06-14 01:44,73.4,88.53,1010.8370170009949
2026-06-14 02:24,73.4,83.24,1010.8370170009949
2026-06-14 02:47,73.4,83.24,1010.8370170009949
2026-06-14 03:26,73.4,88.53,1010.4983781343279
2026-06-14 04:04,71.6,94.07,1010.4983781343279
2026-06-14 04:26,71.6,94.07,1010.1597392676608
2026-06-14 05:04,71.6,94.07,1010.1597392676608
2026-06-14 05:24,71.6,94.07,1010.4983781343279
2026-06-14 05:48,71.6,94.07,1010.8370170009949
2026-06-14 06:06,71.6,100.0,1010.4983781343279
2026-06-14 06:26,71.6,100.0,1010.1597392676608
2026-06-14 07:06,71.6,100.0,1009.4824615343268
2026-06-14 07:46,69.8,100.0,1009.4824615343268
2026-06-14 08:24,69.8,100.0,1009.14382266766
2026-06-14 08:46,69.8,94.02,1009.4824615343268
2026-06-14 09:10,69.8,100.0,1009.4824615343268
2026-06-14 09:28,69.8,94.02,1009.14382266766
2026-06-14 10:04,66.2,93.93,1008.466544934326
2026-06-14 10:24,66.2,88.19,1008.466544934326
2026-06-14 10:44,64.4,93.89,1009.4824615343268
2026-06-14 11:07,62.6,93.84,1009.4824615343268
2026-06-14 11:46,62.6,100.0,1009.8211004009939
2026-06-14 12:26,60.8,100.0,1010.8370170009949
2026-06-14 12:46,60.8,100.0,1010.8370170009949
